#kx	ky	kz
-2.3117359e-01 4.0014645e-01 1.5866630e-01
-2.5107047e-01 3.7783871e-01 1.5866630e-01
-2.7130888e-01 3.5584041e-01 1.5866630e-01
-2.9190330e-01 3.3417507e-01 1.5866630e-01
-3.1285972e-01 3.1285972e-01 1.5866630e-01
-3.3417507e-01 2.9190330e-01 1.5866630e-01
-3.5584041e-01 2.7130888e-01 1.5866630e-01
-3.7783871e-01 2.5107047e-01 1.5866630e-01
-4.0014645e-01 2.3117359e-01 1.5866630e-01
-4.2273195e-01 2.1159250e-01 1.5866630e-01
-4.4555404e-01 1.9228757e-01 1.5866630e-01
-4.6855831e-01 1.7319999e-01 1.5866630e-01
-4.9167192e-01 1.5424488e-01 1.5866630e-01
-5.1479120e-01 1.3529669e-01 1.5866630e-01
-5.3776760e-01 1.1617581e-01 1.5866630e-01
-5.6035553e-01 9.6598851e-02 1.5866630e-01
-5.8211767e-01 7.6112235e-02 1.5866630e-01
-6.0214717e-01 5.3944299e-02 1.5866630e-01
-6.1823662e-01 2.8832113e-02 1.5866630e-01
6.1840332e-01 0.0000000e+00 2.3799944e-01
6.1184076e-01 2.8606220e-02 2.3799944e-01
5.9637928e-01 5.3738347e-02 2.3799944e-01
5.7697607e-01 7.6034709e-02 2.3799944e-01
5.5581047e-01 9.6681835e-02 2.3799944e-01
5.3379043e-01 1.1641977e-01 2.3799944e-01
5.1135841e-01 1.3568952e-01 2.3799944e-01
4.8875805e-01 1.5476191e-01 2.3799944e-01
4.6613946e-01 1.7381273e-01 2.3799944e-01
4.4360398e-01 1.9296173e-01 2.3799944e-01
4.2121992e-01 2.1228743e-01 2.3799944e-01
3.9903959e-01 2.3184654e-01 2.3799944e-01
3.7710217e-01 2.5167765e-01 2.3799944e-01
3.5543548e-01 2.7180414e-01 2.3799944e-01
3.3406130e-01 2.9224098e-01 2.3799944e-01
3.1299384e-01 3.1299384e-01 2.3799944e-01
2.9224098e-01 3.3406130e-01 2.3799944e-01
2.7180414e-01 3.5543548e-01 2.3799944e-01
2.5167765e-01 3.7710217e-01 2.3799944e-01
2.3184654e-01 3.9903959e-01 2.3799944e-01
2.1228743e-01 4.2121992e-01 2.3799944e-01
1.9296173e-01 4.4360398e-01 2.3799944e-01
1.7381273e-01 4.6613946e-01 2.3799944e-01
1.5476191e-01 4.8875805e-01 2.3799944e-01
1.3568952e-01 5.1135841e-01 2.3799944e-01
1.1641977e-01 5.3379043e-01 2.3799944e-01
9.6681835e-02 5.5581047e-01 2.3799944e-01
7.6034709e-02 5.7697607e-01 2.3799944e-01
5.3738347e-02 5.9637928e-01 2.3799944e-01
2.8606220e-02 6.1184076e-01 2.3799944e-01
3.7866283e-17 -6.1840332e-01 2.3799944e-01
2.8606220e-02 -6.1184076e-01 2.3799944e-01
5.3738347e-02 -5.9637928e-01 2.3799944e-01
7.6034709e-02 -5.7697607e-01 2.3799944e-01
9.6681835e-02 -5.5581047e-01 2.3799944e-01
1.1641977e-01 -5.3379043e-01 2.3799944e-01
1.3568952e-01 -5.1135841e-01 2.3799944e-01
1.5476191e-01 -4.8875805e-01 2.3799944e-01
1.7381273e-01 -4.6613946e-01 2.3799944e-01
1.9296173e-01 -4.4360398e-01 2.3799944e-01
2.1228743e-01 -4.2121992e-01 2.3799944e-01
2.3184654e-01 -3.9903959e-01 2.3799944e-01
2.5167765e-01 -3.7710217e-01 2.3799944e-01
2.7180414e-01 -3.5543548e-01 2.3799944e-01
2.9224098e-01 -3.3406130e-01 2.3799944e-01
3.1299384e-01 -3.1299384e-01 2.3799944e-01
3.3406130e-01 -2.9224098e-01 2.3799944e-01
3.5543548e-01 -2.7180414e-01 2.3799944e-01
3.7710217e-01 -2.5167765e-01 2.3799944e-01
3.9903959e-01 -2.3184654e-01 2.3799944e-01
4.2121992e-01 -2.1228743e-01 2.3799944e-01
4.4360398e-01 -1.9296173e-01 2.3799944e-01
4.6613946e-01 -1.7381273e-01 2.3799944e-01
4.8875805e-01 -1.5476191e-01 2.3799944e-01
5.1135841e-01 -1.3568952e-01 2.3799944e-01
5.3379043e-01 -1.1641977e-01 2.3799944e-01
5.5581047e-01 -9.6681835e-02 2.3799944e-01
5.7697607e-01 -7.6034709e-02 2.3799944e-01
5.9637928e-01 -5.3738347e-02 2.3799944e-01
6.1184076e-01 -2.8606220e-02 2.3799944e-01
-6.1840332e-01 -7.5732565e-17 2.3799944e-01
-6.1184076e-01 -2.8606220e-02 2.3799944e-01
-5.9637928e-01 -5.3738347e-02 2.3799944e-01
-5.7697607e-01 -7.6034709e-02 2.3799944e-01
-5.5581047e-01 -9.6681835e-02 2.3799944e-01
-5.3379043e-01 -1.1641977e-01 2.3799944e-01
-5.1135841e-01 -1.3568952e-01 2.3799944e-01
-4.8875805e-01 -1.5476191e-01 2.3799944e-01
-4.6613946e-01 -1.7381273e-01 2.3799944e-01
-4.4360398e-01 -1.9296173e-01 2.3799944e-01
-4.2121992e-01 -2.1228743e-01 2.3799944e-01
-3.9903959e-01 -2.3184654e-01 2.3799944e-01
-3.7710217e-01 -2.5167765e-01 2.3799944e-01
-3.5543548e-01 -2.7180414e-01 2.3799944e-01
-3.3406130e-01 -2.9224098e-01 2.3799944e-01
-3.1299384e-01 -3.1299384e-01 2.3799944e-01
-2.9224098e-01 -3.3406130e-01 2.3799944e-01
-2.7180414e-01 -3.5543548e-01 2.3799944e-01
-2.5167765e-01 -3.7710217e-01 2.3799944e-01
-2.3184654e-01 -3.9903959e-01 2.3799944e-01
-2.1228743e-01 -4.2121992e-01 2.3799944e-01
-1.9296173e-01 -4.4360398e-01 2.3799944e-01
-1.7381273e-01 -4.6613946e-01 2.3799944e-01
-1.5476191e-01 -4.8875805e-01 2.3799944e-01
-1.3568952e-01 -5.1135841e-01 2.3799944e-01
-1.1641977e-01 -5.3379043e-01 2.3799944e-01
-9.6681835e-02 -5.5581047e-01 2.3799944e-01
-7.6034709e-02 -5.7697607e-01 2.3799944e-01
-5.3738347e-02 -5.9637928e-01 2.3799944e-01
-2.8606220e-02 -6.1184076e-01 2.3799944e-01
-1.1359885e-16 6.1840332e-01 2.3799944e-01
-2.8606220e-02 6.1184076e-01 2.3799944e-01
-5.3738347e-02 5.9637928e-01 2.3799944e-01
-7.6034709e-02 5.7697607e-01 2.3799944e-01
-9.6681835e-02 5.5581047e-01 2.3799944e-01
-1.1641977e-01 5.3379043e-01 2.3799944e-01
-1.3568952e-01 5.1135841e-01 2.3799944e-01
-1.5476191e-01 4.8875805e-01 2.3799944e-01
-1.7381273e-01 4.6613946e-01 2.3799944e-01
-1.9296173e-01 4.4360398e-01 2.3799944e-01
-2.1228743e-01 4.2121992e-01 2.3799944e-01
-2.3184654e-01 3.9903959e-01 2.3799944e-01
-2.5167765e-01 3.7710217e-01 2.3799944e-01
-2.7180414e-01 3.5543548e-01 2.3799944e-01
-2.9224098e-01 3.3406130e-01 2.3799944e-01
-3.1299384e-01 3.1299384e-01 2.3799944e-01
-3.3406130e-01 2.9224098e-01 2.3799944e-01
-3.5543548e-01 2.7180414e-01 2.3799944e-01
-3.7710217e-01 2.5167765e-01 2.3799944e-01
-3.9903959e-01 2.3184654e-01 2.3799944e-01
-4.2121992e-01 2.1228743e-01 2.3799944e-01
-4.4360398e-01 1.9296173e-01 2.3799944e-01
-4.6613946e-01 1.7381273e-01 2.3799944e-01
-4.8875805e-01 1.5476191e-01 2.3799944e-01
-5.1135841e-01 1.3568952e-01 2.3799944e-01
-5.3379043e-01 1.1641977e-01 2.3799944e-01
-5.5581047e-01 9.6681835e-02 2.3799944e-01
-5.7697607e-01 7.6034709e-02 2.3799944e-01
-5.9637928e-01 5.3738347e-02 2.3799944e-01
-6.1184076e-01 2.8606220e-02 2.3799944e-01
6.1176361e-01 0.0000000e+00 3.1733259e-01
6.0554529e-01 2.8386700e-02 3.1733259e-01
5.9071683e-01 5.3541577e-02 3.1733259e-01
